Nimi;Lukumäärä
Esther;184
Hjördis;184
Nellie;184
Nova;184
Ann-Britt;183
Eliina;183
Abdi;183
Jarko;183
Sanelma;182
Synnöve;182
Niilas;182
Yulia;181
Marc;181
Sören;181
Terno;181
Cindy;180
Mina;180
Viia;180
Amin;179
Atro;179
Hasan;179
Kauri;179
René;179
Zacharias;178
Ann-Sofi;177
Evita;177
Laimi;177
Selena;177
Tekla;177
Vivan;177
Micke;177
Juliaana;176
Kirsikka;176
Abdullah;176
Lucia;175
Marta;175
Venny;175
Sami-Pekka;175
Annele;174
Mahamed;174
Ella-Maria;173
Fadumo;173
Ilma;173
Alfons;173
Vilhelm;173
Kaisa-Leena;172
Colin;172
Cristian;172
Khalid;172
Leino;172
Sally;171
Suvi-Tuulia;171
Aate;171
Aati;171
Kari-Matti;171
Denise;170
Tanya;170
Joseph;170
Karl-Johan;170
Ken;170
Sami-Petteri;170
Liv;169
Malva;169
Harald;169
Anne-Marja;168
Julie;168
Aarto;168
Lenny;168
Riitta-Maija;167
Rose;167
Rina;166
Vanamo;166
Miklas;166
Milan;166
Clarissa;165
Ellie;165
Ljudmila;165
Manta;165
Tiina-Liisa;165
Thor;165
Meimi;164
Benjami;164
Folke;164
Saska;164
Titus;164
Annamaija;162
Rickard;162
Ryan;162
Nia;161
Tindra;161
Charlie;161
Eikka;161
Holger;161
Theodor;161
Uula;161
Tarja-Leena;160
Evelyn;159
Kreeta;159
Gustaf;159
Jaajo;159
Luke;159
Morris;159
Rauni;159
Crista;158
Halla;158
Milma;158
Tiitu;158
Josef;158
Ranja;157
Elo;157
Jan-Peter;157
Matteus;157
Verne;157
Ann-Charlotte;156
Alexi;156
Nathan;156
Vidar;156
Werner;156
Etel;155
Karen;155
Lumina;155
Martha;155
Wenla;155
Helmer;155
Gudrun;154
Iira;154
Oksana;154
Stephanie;154
Emir;154
Sakke;154
Valeri;154
Inga-Lill;153
Thelma;153
Miiro;153
Annaleena;152
Ann-Kristin;152
Aurelia;152
Lola;152
Raija-Leena;152
Abdul;152
Jani-Pekka;152
Juho-Matti;152
Torbjörn;152
Gabriela;151
Henna-Maria;151
Hille;151
Ingegerd;151
Katri-Helena;151
Henrikki;151
Catherine;150
Gunhild;150
